No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
1	flutter_svg	An SVG rendering and widget library for Flutter, which allows painting and displaying Scalable Vector Graphics 1.1 files.	1.1.6	99.96964572221499	3407	1468	385	136	dnfield	dnfield.dev	MIT	2022-12-16T04:07:41.000Z	https://github.com/dnfield/flutter_svg
2	provider	A wrapper around InheritedWidget to make them easier to use and more reusable.	6.0.5	99.96097307141928	7817	4561	465	12	rrousselGit	dash-overflow.net	MIT	2022-12-15T22:07:16.000Z	https://github.com/rrousselGit/provider
3	permission_handler	Permission plugin for Flutter. This plugin provides a cross-platform (iOS, Android) API to request and check permissions.	10.2.0	99.93929144442998	3320	1699	661	154	Baseflow	baseflow.com	MIT	2022-11-11T10:50:27.000Z	https://github.com/baseflow/flutter-permission-handler
4	google_fonts	A Flutter package to use fonts from fonts.google.com.	3.0.1	99.92628246823642	4204	670	88	17	material-foundation	material.io	Apache-2.0	2022-12-06T15:25:08.000Z	https://github.com/material-foundation/google-fonts-flutter
5	file_picker	A package that allows you to use a native file explorer to pick single or multiple absolute file paths, with extension filtering support.	5.2.4	99.8872555396557	2879	974	432	30	miguelpruivo	miguelruivo.com	MIT	2022-12-12T17:26:48.000Z	https://github.com/miguelpruivo/flutter_file_picker
6	carousel_slider	A carousel slider widget, support infinite scroll and custom child widget.	4.2.1	99.88291921425784	3803	1382	447	168	serenader2014	serenader.me	MIT	2022-12-13T16:32:08.000Z	https://github.com/serenader2014/flutter_carousel_slider
7	font_awesome_flutter	The Font Awesome Icon pack available as Flutter Icons. Provides 1600 additional icons to use in your apps.	10.3.0	99.86123758726855	3171	727	179	6	fluttercommunity	fluttercommunity.dev	NOASSERTION	2022-12-04T13:24:44.000Z	https://github.com/fluttercommunity/font_awesome_flutter
8	lottie	Render After Effects animations natively on Flutter. This package is a pure Dart implementation of a Lottie player.	2.1.0	99.81787433328996	2449	885	163	95	xvrh	xaha.dev	MIT	2022-12-14T13:12:23.000Z	https://github.com/xvrh/lottie-flutter
9	sqflite	Flutter plugin for SQLite, a self-contained, high-reliability, embedded, SQL database engine.	2.2.2	99.8135380078921	3528	2529	453	126	tekartik	tekartik.com	BSD-2-Clause	2022-12-04T19:40:08.000Z	https://github.com/tekartik/sqflite/tree/master/sqflite
10	flutter_secure_storage	Flutter Secure Storage provides API to store data in secure storage. Keychain is used in iOS, KeyStore based solution is used in Android.	7.0.1	99.78752005550497	2431	888	226	69	mogol	steenbakker.dev	BSD-3-Clause	2022-12-16T12:25:07.000Z	https://github.com/mogol/flutter_secure_storage/tree/develop/flutter_secure_storage
11	shimmer	A package provides an easy way to add shimmer effect in Flutter project	2.0.0	99.7745110793114	3228	1552	185	29	hnvn	hunghd.dev	BSD-3-Clause	2022-07-08T03:27:47.000Z	https://github.com/hnvn/flutter_shimmer
12	flutter_native_splash	Customize Flutter's default white native splash screen with background color and splash image. Supports dark mode, full screen, and more.	2.2.16	99.76150210311782	4960	936	142	11	jonbhanson	jonhanson.net	MIT	2022-11-27T17:58:46.000Z	https://github.com/jonbhanson/flutter_native_splash
13	flutter_inappwebview	A Flutter plugin that allows you to add an inline webview, to use an headless webview, and to open an in-app browser window.	5.7.2+3	99.74849312692425	1528	2309	968	588	pichillilorenzo	inappwebview.dev	Apache-2.0	2022-12-16T14:49:41.000Z	https://github.com/pichillilorenzo/flutter_inappwebview
14	flutter_rating_bar	A simple yet fully customizable ratingbar for flutter which also include a rating bar indicator, supporting any fraction of rating.	4.0.1	99.68344824595637	1579	322	75	39	sarbagyastha	sarbagyastha.com.np	MIT	2022-11-28T13:51:05.000Z	https://github.com/sarbagyastha/flutter_rating_bar
15	pin_code_fields	A flutter package which will help you to generate pin code fields. Can be useful for OTP for example.	7.4.0	99.66176661896708	1626	549	245	13	adar2378	theadar.xyz	MIT	2022-12-15T16:10:20.000Z	https://github.com/adar2378/pin_code_fields
16	qr_code_scanner	QR code scanner that can be embedded inside flutter. It uses zxing in Android and MTBBarcode scanner in iOS.	1.0.1	99.49264992845063	1494	854	577	127	juliuscanute		BSD-2-Clause	2022-12-14T08:23:47.000Z	https://github.com/juliuscanute/qr_code_scanner
17	flutter_riverpod	A simple way to access state from anywhere in your application while robust and testable.	2.1.1	99.43627769827847	1321	3840	617	104	rrousselGit	dash-overflow.net	MIT	2022-12-17T20:19:05.000Z	https://github.com/rrousselGit/riverpod
18	flutter_image_compress	Compress image with native (Objective-C/Kotlin) with faster speed. Support Android/iOS.	1.1.3	99.2888426347513	816	505	132	60	fluttercandies		MIT	2022-09-22T08:48:55.000Z	https://github.com/fluttercandies/flutter_image_compress
19	wakelock	Plugin that allows you to keep the device screen awake, i.e. prevent the screen from sleeping on Android, iOS, macOS, Windows, and web.	0.6.2	99.2584883569663	1120	336	57	7	creativecreatorormaybenot	creativemaybeno.dev	BSD-3-Clause	2022-09-13T04:03:51.000Z	https://github.com/creativecreatorormaybenot/wakelock/tree/main/wakelock
20	dropdown_search	Simple and robust Searchable Dropdown with item search feature, making it possible to use an offline item list or filtering URL for easy customization.	5.0.5	99.25415203156844	1183	239	219	11	salim-lachdhaf	salimdev.ovh	MIT	2022-12-05T08:46:47.000Z	https://github.com/salim-lachdhaf/searchable_dropdown
21	flutter_keyboard_visibility	Flutter plugin for discovering the state of the soft-keyboard visibility on Android and iOS.	5.4.0	99.18477082520273	556	300	61	17	MisterJimson	jasonrai.ca	MIT	2022-12-08T13:51:05.000Z	https://github.com/MisterJimson/flutter_keyboard_visibility
22	sentry_flutter	Sentry SDK for Flutter. This package aims to support different Flutter targets by relying on the many platforms supported by Sentry with native SDKs.	6.18.1	99.14574389662201	496	600	158	79	getsentry	sentry.io	MIT	2022-12-18T17:26:39.000Z	https://github.com/getsentry/sentry-dart
23	pinput	Pin code input (OTP) text field, iOS SMS autofill, Android SMS autofill One Time Code, Password, Passcode, Captcha, Security, Coupon, Wowcher, 2FA, Two step verification	2.2.16	99.09804431724557	1302	447	110	5	Tkko	fman.ge	MIT	2022-10-07T08:18:37.000Z	https://github.com/Tkko/Flutter_PinPut
24	youtube_player_flutter	Flutter plugin for playing or streaming inline YouTube videos using the official iFrame player API. This plugin supports both Android and iOS.	8.1.1	99.08937166644985	1045	555	563	311	sarbagyastha	sarbagyastha.com.np	BSD-3-Clause	2022-12-12T15:34:31.000Z	https://github.com/sarbagyastha/youtube_player_flutter
25	flutter_downloader	Powerful plugin making it easy to download files.	1.9.1	99.08503534105199	1052	782	426	270	fluttercommunity	fluttercommunity.dev	BSD-3-Clause	2022-12-17T18:49:53.000Z	https://github.com/fluttercommunity/flutter_downloader
26	flutter_hooks	A flutter implementation of React hooks. It adds a new kind of widget with enhanced code reuse.	0.18.5+1	99.05901738866486	1523	2556	147	29	rrousselGit	dash-overflow.net	MIT	2022-07-20T09:57:15.000Z	https://github.com/rrousselGit/flutter_hooks/tree/master/packages/flutter_hooks
27	flutter_map	A versatile mapping package for Flutter, based off leaflet.js, that's simple and easy to learn, yet completely customizable and configurable.	3.0.0	98.98529985690126	1106	2231	711	25	fleaflet	fleaflet.dev	BSD-3-Clause	2022-12-11T21:07:27.000Z	https://github.com/fleaflet/flutter_map
28	hooks_riverpod	A simple way to access state from anywhere in your application while robust and testable.	2.1.1	98.93326395212696	555	3840	617	104	rrousselGit	dash-overflow.net	MIT	2022-12-17T20:19:05.000Z	https://github.com/rrousselGit/riverpod
