No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
1	http	A composable, multi-platform, Future-based API for HTTP requests.	0.13.5	99.97831837301071	5621	886	292	158	dart-lang	dart.dev	BSD-3-Clause	2022-12-14T23:56:15.000Z	https://github.com/dart-lang/http/tree/master/pkgs/http
2	intl	Contains code to deal with internationalized/localized messages, date and number formatting and parsing, bi-directional text, and other internationalization issues.	0.18.0	99.97398204761285	3626	496	167	105	dart-lang	dart.dev	BSD-3-Clause	2022-12-19T10:00:12.000Z	https://github.com/dart-lang/intl
3	path	A string-based path manipulation library. All of the path operations you know and love, with solid support for Windows, POSIX (Linux and Mac OS X), and the web.	1.8.3	99.90893716664499	949	158	38	13	dart-lang	dart.dev	BSD-3-Clause	2022-12-05T23:13:55.000Z	https://github.com/dart-lang/path
4	equatable	A Dart package that helps to implement value based equality without needing to explicitly override == and hashCode.	2.0.5	99.89159186505356	2035	739	91	15	felangel	fluttercommunity.dev	MIT	2022-10-17T14:47:51.000Z	https://github.com/felangel/equatable
5	collection	Collections and utilities functions and classes related to collections.	1.17.0	99.82221065868782	708	268	69	34	dart-lang	dart.dev	BSD-3-Clause	2022-12-09T17:04:55.000Z	https://github.com/dart-lang/collection
6	rxdart	RxDart is an implementation of the popular reactiveX api for asynchronous programming, leveraging the native Dart Streams api.	0.27.7	99.80486535709639	1953	3199	266	47	ReactiveX	fluttercommunity.dev	NOASSERTION	2022-11-28T15:48:04.000Z	https://github.com/ReactiveX/rxdart
7	crypto	Implementations of SHA, MD5, and HMAC cryptographic functions	3.0.2	99.79185638090283	1029	191	42	23	dart-lang	dart.dev	BSD-3-Clause	2022-11-10T17:45:46.000Z	https://github.com/dart-lang/crypto
8	async	Utility functions and classes related to the 'dart:async' library.	2.10.0	99.75716577771996	367	214	44	13	dart-lang	dart.dev	BSD-3-Clause	2022-11-09T17:20:16.000Z	https://github.com/dart-lang/async
9	http_parser	A platform-independent package for parsing and serializing HTTP formats.	4.0.2	99.74415680152639	132	24	23	4	dart-lang	dart.dev	BSD-3-Clause	2022-10-31T00:30:28.000Z	https://github.com/dart-lang/http_parser
10	html	APIs for parsing and manipulating HTML content outside the browser.	0.15.1	99.72681149993495	393	232	56	71	dart-lang	tools.dart.dev	NOASSERTION	2022-11-09T23:34:42.000Z	https://github.com/dart-lang/html
11	mime	Utilities for handling media (MIME) types, including determining a type from a file extension and file contents.	1.0.3	99.71380252374138	253	78	38	21	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-13T15:49:04.000Z	https://github.com/dart-lang/mime
12	args	Library for defining parsers for parsing raw command-line arguments into a set of options and values using GNU and POSIX style options.	2.3.1	99.70512987294566	260	171	60	39	dart-lang	dart.dev	BSD-3-Clause	2022-11-09T20:45:35.000Z	https://github.com/dart-lang/args
13	logging	Provides APIs for debugging and error logging, similar to loggers in other languages, such as the Closure JS Logger and java.util.logging.Logger.	1.1.0	99.7007935475478	483	239	41	16	dart-lang	dart.dev	BSD-3-Clause	2022-12-06T22:23:52.000Z	https://github.com/dart-lang/logging
14	archive	Provides encoders and decoders for various archive and compression formats such as zip, tar, bzip2, gzip, and zlib.	3.3.5	99.69645722214995	418	297	85	72	brendan-duncan	loki3d.com	MIT	2022-12-19T23:11:03.000Z	https://github.com/brendan-duncan/archive
15	dart_code_metrics	Software analytics tool that helps developers analyse and improve software quality.	5.3.0	99.68778457135423	751	738	83	54	dart-code-checker	dartcodemetrics.dev	MIT	2022-12-19T15:46:26.000Z	https://github.com/dart-code-checker/dart-code-metrics
16	yaml	A parser for YAML, a human-friendly data serialization standard	3.1.1	99.63574866657994	174	121	53	18	dart-lang	tools.dart.dev	MIT	2022-11-15T20:27:41.000Z	https://github.com/dart-lang/yaml
17	convert	Utilities for converting between data representations. Provides a number of Sink, Codec, Decoder, and Encoder types.	3.1.1	99.63141234118208	64	45	21	8	dart-lang	dart.dev	BSD-3-Clause	2022-10-12T21:53:57.000Z	https://github.com/dart-lang/convert
18	web_socket_channel	StreamChannel wrappers for WebSockets. Provides a cross-platform WebSocketChannel API, a cross-platform implementation of that API that communicates over an underlying StreamChannel.	2.2.0	99.61406703959065	765	312	81	85	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-07T09:27:31.000Z	https://github.com/dart-lang/web_socket_channel
19	source_span	A library for identifying source spans and locations.	1.9.1	99.58371276180564	18	21	14	12	dart-lang	tools.dart.dev	BSD-3-Clause	2022-10-25T17:24:45.000Z	https://github.com/dart-lang/source_span
20	string_scanner	A class for parsing strings using a sequence of patterns.	1.2.0	99.57504011100993	150	51	13	5	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-13T00:08:03.000Z	https://github.com/dart-lang/string_scanner
21	typed_data	Utility functions and classes related to the dart:typed_data library.	1.3.1	99.57070378561207	30	29	10	3	dart-lang	dart.dev	BSD-3-Clause	2022-11-10T17:39:40.000Z	https://github.com/dart-lang/typed_data
22	shelf	A model for web server middleware that encourages composition and easy reuse.	1.4.0	99.56636746021421	559	701	102	29	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-08T17:24:18.000Z	https://github.com/dart-lang/shelf/tree/master/pkgs/shelf
23	pub_semver	Versions and version constraints implementing pub's versioning policy. This is very similar to vanilla semver, with a few corner cases.	2.1.3	99.54468583322492	71	47	22	8	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-12T00:56:02.000Z	https://github.com/dart-lang/pub_semver
24	bloc	A predictable state management library that helps implement the BLoC (Business Logic Component) design pattern.	8.1.0	99.54034950782706	2078	9890	3023	94	felangel	bloclibrary.dev	MIT	2022-12-11T03:56:07.000Z	https://github.com/felangel/bloc/tree/master/packages/bloc
25	term_glyph	Useful Unicode glyphs and ASCII substitutes.	1.2.1	99.5360131824292	21	10	10	0	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-15T22:30:35.000Z	https://github.com/dart-lang/term_glyph
26	clock	A fakeable wrapper for dart:core clock APIs.	1.1.1	99.53167685703134	119	34	13	1	dart-lang	tools.dart.dev	Apache-2.0	2022-11-09T23:23:34.000Z	https://github.com/dart-lang/clock
27	stack_trace	A package for manipulating stack traces and printing them readably.	1.11.0	99.51866788083777	147	102	19	18	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-01T20:24:46.000Z	https://github.com/dart-lang/stack_trace
28	shelf_static	Static file server support for the shelf package and ecosystem.	1.1.1	99.49698625384849	53	24	25	3	dart-archive	tools.dart.dev	BSD-3-Clause	2022-05-09T20:32:05.000Z	https://github.com/dart-lang/shelf/tree/master/pkgs/shelf_static
29	webkit_inspection_protocol	A client for the Chrome DevTools Protocol (previously called the Webkit Inspection Protocol).	1.2.0	99.47096830146134	4	24	26	4	google	google.dev	BSD-3-Clause	2022-11-14T17:14:57.000Z	https://github.com/google/webkit_inspection_protocol.dart
30	io	Utilities for the Dart VM Runtime including support for ANSI colors, file copying, and standard exit code values.	1.0.3	99.44928667447205	26	32	16	19	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-15T20:27:29.000Z	https://github.com/dart-lang/io
31	csslib	A library for parsing and analyzing CSS (Cascading Style Sheets)	0.17.2	99.42760504748276	22	69	32	21	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-15T15:46:59.000Z	https://github.com/dart-lang/csslib
32	petitparser	A dynamic parser framework to build efficient grammars and parsers quickly.	5.1.0	99.4232687220849	189	382	51	5	petitparser	lukas-renggli.ch	MIT	2022-12-18T16:27:51.000Z	https://github.com/petitparser/dart-petitparser
33	glob	A library to perform Bash-style file and directory globbing.	2.1.1	99.41025974589132	37	36	14	6	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-09T23:20:11.000Z	https://github.com/dart-lang/glob
34	package_config	Support for reading and writing Dart Package Configuration files.	2.1.0	99.40592342049347	6	13	16	6	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-15T20:29:54.000Z	https://github.com/dart-lang/package_config
35	stream_channel	An abstraction for two-way communication channels based on the Dart Stream class.	2.1.1	99.4015870950956	28	38	20	4	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-10T11:30:32.000Z	https://github.com/dart-lang/stream_channel
36	watcher	A file system watcher. It monitors changes to contents of directories and sends notifications when files have been added, removed, or modified.	1.0.2	99.39291444429989	114	103	26	19	dart-lang	tools.dart.dev	BSD-3-Clause	2022-10-14T17:19:59.000Z	https://github.com/dart-lang/watcher
37	fixnum	Library for 32- and 64-bit signed fixed-width integers with consistent behavior between native and JS runtimes.	1.0.1	99.38857811890203	25	36	25	16	dart-lang	dart.dev	BSD-3-Clause	2022-12-08T16:13:54.000Z	https://github.com/dart-lang/fixnum
38	coverage	Coverage data manipulation and formatting	1.6.1	99.38424179350417	60	90	55	27	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-14T22:55:10.000Z	https://github.com/dart-lang/coverage
39	shelf_web_socket	A shelf handler that wires up a listener for every connection.	1.0.3	99.36689649191275	81	22	15	6	dart-archive	tools.dart.dev	BSD-3-Clause	2022-05-09T20:49:07.000Z	https://github.com/dart-lang/shelf/tree/master/pkgs/shelf_web_socket
40	http_multi_server	A dart:io HttpServer wrapper that handles requests from multiple servers.	3.2.1	99.35822384111704	31	22	13	1	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-09T23:47:30.000Z	https://github.com/dart-lang/http_multi_server
41	pool	Manage a finite pool of resources. Useful for controlling concurrent file system or network requests.	1.5.1	99.3408785395256	45	35	20	5	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-09T23:47:56.000Z	https://github.com/dart-lang/pool
42	source_maps	A library to programmatically manipulate source map files.	0.10.11	99.33654221412775	0	12	14	13	dart-lang	tools.dart.dev	BSD-3-Clause	2022-10-19T17:16:50.000Z	https://github.com/dart-lang/source_maps
