No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
1	http	A composable, multi-platform, Future-based API for HTTP requests.	0.13.5	99.97831837301071	5621	886	292	158	dart-lang	dart.dev	BSD-3-Clause	2022-12-14T23:56:15.000Z	https://github.com/dart-lang/http/tree/master/pkgs/http
2	intl	Contains code to deal with internationalized/localized messages, date and number formatting and parsing, bi-directional text, and other internationalization issues.	0.18.0	99.97398204761285	3626	496	167	105	dart-lang	dart.dev	BSD-3-Clause	2022-12-19T10:00:12.000Z	https://github.com/dart-lang/intl
3	flutter_svg	An SVG rendering and widget library for Flutter, which allows painting and displaying Scalable Vector Graphics 1.1 files.	1.1.6	99.96964572221499	3410	1468	386	137	dnfield	dnfield.dev	MIT	2022-12-16T04:07:41.000Z	https://github.com/dnfield/flutter_svg
4	provider	A wrapper around InheritedWidget to make them easier to use and more reusable.	6.0.5	99.96097307141928	7820	4565	465	12	rrousselGit	dash-overflow.net	MIT	2022-12-15T22:07:16.000Z	https://github.com/rrousselGit/provider
5	permission_handler	Permission plugin for Flutter. This plugin provides a cross-platform (iOS, Android) API to request and check permissions.	10.2.0	99.93929144442998	3324	1699	663	153	Baseflow	baseflow.com	MIT	2022-11-11T10:50:27.000Z	https://github.com/baseflow/flutter-permission-handler
6	google_fonts	A Flutter package to use fonts from fonts.google.com.	3.0.1	99.92628246823642	4207	669	88	17	material-foundation	material.io	Apache-2.0	2022-12-06T15:25:08.000Z	https://github.com/material-foundation/google-fonts-flutter
7	path	A string-based path manipulation library. All of the path operations you know and love, with solid support for Windows, POSIX (Linux and Mac OS X), and the web.	1.8.3	99.90893716664499	949	158	38	13	dart-lang	dart.dev	BSD-3-Clause	2022-12-05T23:13:55.000Z	https://github.com/dart-lang/path
8	equatable	A Dart package that helps to implement value based equality without needing to explicitly override == and hashCode.	2.0.5	99.89159186505356	2035	739	91	15	felangel	fluttercommunity.dev	MIT	2022-10-17T14:47:51.000Z	https://github.com/felangel/equatable
9	file_picker	A package that allows you to use a native file explorer to pick single or multiple absolute file paths, with extension filtering support.	5.2.4	99.8872555396557	2879	974	432	29	miguelpruivo	miguelruivo.com	MIT	2022-12-12T17:26:48.000Z	https://github.com/miguelpruivo/flutter_file_picker
10	carousel_slider	A carousel slider widget, support infinite scroll and custom child widget.	4.2.1	99.88291921425784	3808	1384	446	168	serenader2014	serenader.me	MIT	2022-12-13T16:32:08.000Z	https://github.com/serenader2014/flutter_carousel_slider
11	font_awesome_flutter	The Font Awesome Icon pack available as Flutter Icons. Provides 1600 additional icons to use in your apps.	10.3.0	99.86123758726855	3171	727	179	6	fluttercommunity	fluttercommunity.dev	NOASSERTION	2022-12-04T13:24:44.000Z	https://github.com/fluttercommunity/font_awesome_flutter
12	collection	Collections and utilities functions and classes related to collections.	1.17.0	99.82221065868782	708	268	69	34	dart-lang	dart.dev	BSD-3-Clause	2022-12-09T17:04:55.000Z	https://github.com/dart-lang/collection
13	lottie	Render After Effects animations natively on Flutter. This package is a pure Dart implementation of a Lottie player.	2.1.0	99.81787433328996	2452	886	163	95	xvrh	xaha.dev	MIT	2022-12-14T13:12:23.000Z	https://github.com/xvrh/lottie-flutter
14	sqflite	Flutter plugin for SQLite, a self-contained, high-reliability, embedded, SQL database engine.	2.2.2	99.8135380078921	3530	2531	453	126	tekartik	tekartik.com	BSD-2-Clause	2022-12-19T08:41:13.000Z	https://github.com/tekartik/sqflite/tree/master/sqflite
15	rxdart	RxDart is an implementation of the popular reactiveX api for asynchronous programming, leveraging the native Dart Streams api.	0.27.7	99.80486535709639	1953	3199	266	47	ReactiveX	fluttercommunity.dev	NOASSERTION	2022-11-28T15:48:04.000Z	https://github.com/ReactiveX/rxdart
16	crypto	Implementations of SHA, MD5, and HMAC cryptographic functions	3.0.2	99.79185638090283	1029	191	42	23	dart-lang	dart.dev	BSD-3-Clause	2022-11-10T17:45:46.000Z	https://github.com/dart-lang/crypto
17	flutter_secure_storage	Flutter Secure Storage provides API to store data in secure storage. Keychain is used in iOS, KeyStore based solution is used in Android.	7.0.1	99.78752005550497	2432	888	226	70	mogol	steenbakker.dev	BSD-3-Clause	2022-12-16T12:25:07.000Z	https://github.com/mogol/flutter_secure_storage/tree/develop/flutter_secure_storage
18	shimmer	A package provides an easy way to add shimmer effect in Flutter project	2.0.0	99.7745110793114	3230	1552	185	29	hnvn	hunghd.dev	BSD-3-Clause	2022-07-08T03:27:47.000Z	https://github.com/hnvn/flutter_shimmer
19	flutter_native_splash	Customize Flutter's default white native splash screen with background color and splash image. Supports dark mode, full screen, and more.	2.2.16	99.76150210311782	4965	936	142	13	jonbhanson	jonhanson.net	MIT	2022-11-27T17:58:46.000Z	https://github.com/jonbhanson/flutter_native_splash
20	async	Utility functions and classes related to the 'dart:async' library.	2.10.0	99.75716577771996	367	214	44	13	dart-lang	dart.dev	BSD-3-Clause	2022-11-09T17:20:16.000Z	https://github.com/dart-lang/async
21	flutter_inappwebview	A Flutter plugin that allows you to add an inline webview, to use an headless webview, and to open an in-app browser window.	5.7.2+3	99.74849312692425	1531	2311	971	587	pichillilorenzo	inappwebview.dev	Apache-2.0	2022-12-16T14:49:41.000Z	https://github.com/pichillilorenzo/flutter_inappwebview
22	http_parser	A platform-independent package for parsing and serializing HTTP formats.	4.0.2	99.74415680152639	132	24	23	4	dart-lang	dart.dev	BSD-3-Clause	2022-10-31T00:30:28.000Z	https://github.com/dart-lang/http_parser
23	html	APIs for parsing and manipulating HTML content outside the browser.	0.15.1	99.72681149993495	393	232	56	71	dart-lang	tools.dart.dev	NOASSERTION	2022-11-09T23:34:42.000Z	https://github.com/dart-lang/html
24	mime	Utilities for handling media (MIME) types, including determining a type from a file extension and file contents.	1.0.3	99.71380252374138	253	78	38	21	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-13T15:49:04.000Z	https://github.com/dart-lang/mime
25	args	Library for defining parsers for parsing raw command-line arguments into a set of options and values using GNU and POSIX style options.	2.3.1	99.70512987294566	260	171	60	39	dart-lang	dart.dev	BSD-3-Clause	2022-11-09T20:45:35.000Z	https://github.com/dart-lang/args
26	logging	Provides APIs for debugging and error logging, similar to loggers in other languages, such as the Closure JS Logger and java.util.logging.Logger.	1.1.0	99.7007935475478	483	239	41	16	dart-lang	dart.dev	BSD-3-Clause	2022-12-06T22:23:52.000Z	https://github.com/dart-lang/logging
27	archive	Provides encoders and decoders for various archive and compression formats such as zip, tar, bzip2, gzip, and zlib.	3.3.5	99.69645722214995	418	297	85	72	brendan-duncan	loki3d.com	MIT	2022-12-19T23:11:03.000Z	https://github.com/brendan-duncan/archive
28	dart_code_metrics	Software analytics tool that helps developers analyse and improve software quality.	5.3.0	99.68778457135423	751	738	83	54	dart-code-checker	dartcodemetrics.dev	MIT	2022-12-19T15:46:26.000Z	https://github.com/dart-code-checker/dart-code-metrics
29	flutter_rating_bar	A simple yet fully customizable ratingbar for flutter which also include a rating bar indicator, supporting any fraction of rating.	4.0.1	99.68344824595637	1580	323	75	39	sarbagyastha	sarbagyastha.com.np	MIT	2022-11-28T13:51:05.000Z	https://github.com/sarbagyastha/flutter_rating_bar
30	json_serializable	Automatically generate code for converting to and from JSON by annotating Dart classes.	6.5.4	99.66610294436494	2419	1376	350	77	google	google.dev	BSD-3-Clause	2022-12-19T23:41:14.000Z	https://github.com/google/json_serializable.dart/tree/master/json_serializable
31	pin_code_fields	A flutter package which will help you to generate pin code fields. Can be useful for OTP for example.	7.4.0	99.66176661896708	1626	549	246	14	adar2378	theadar.xyz	MIT	2022-12-15T16:10:20.000Z	https://github.com/adar2378/pin_code_fields
32	yaml	A parser for YAML, a human-friendly data serialization standard	3.1.1	99.63574866657994	174	121	53	18	dart-lang	tools.dart.dev	MIT	2022-11-15T20:27:41.000Z	https://github.com/dart-lang/yaml
33	convert	Utilities for converting between data representations. Provides a number of Sink, Codec, Decoder, and Encoder types.	3.1.1	99.63141234118208	64	45	21	8	dart-lang	dart.dev	BSD-3-Clause	2022-10-12T21:53:57.000Z	https://github.com/dart-lang/convert
34	web_socket_channel	StreamChannel wrappers for WebSockets. Provides a cross-platform WebSocketChannel API, a cross-platform implementation of that API that communicates over an underlying StreamChannel.	2.2.0	99.61406703959065	765	312	81	85	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-07T09:27:31.000Z	https://github.com/dart-lang/web_socket_channel
35	source_span	A library for identifying source spans and locations.	1.9.1	99.58371276180564	18	21	14	12	dart-lang	tools.dart.dev	BSD-3-Clause	2022-10-25T17:24:45.000Z	https://github.com/dart-lang/source_span
36	string_scanner	A class for parsing strings using a sequence of patterns.	1.2.0	99.57504011100993	150	51	13	5	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-13T00:08:03.000Z	https://github.com/dart-lang/string_scanner
37	typed_data	Utility functions and classes related to the dart:typed_data library.	1.3.1	99.57070378561207	30	29	10	3	dart-lang	dart.dev	BSD-3-Clause	2022-11-10T17:39:40.000Z	https://github.com/dart-lang/typed_data
38	shelf	A model for web server middleware that encourages composition and easy reuse.	1.4.0	99.56636746021421	559	701	102	29	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-08T17:24:18.000Z	https://github.com/dart-lang/shelf/tree/master/pkgs/shelf
39	pub_semver	Versions and version constraints implementing pub's versioning policy. This is very similar to vanilla semver, with a few corner cases.	2.1.3	99.54468583322492	71	47	22	8	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-12T00:56:02.000Z	https://github.com/dart-lang/pub_semver
40	bloc	A predictable state management library that helps implement the BLoC (Business Logic Component) design pattern.	8.1.0	99.54034950782706	2078	9890	3023	94	felangel	bloclibrary.dev	MIT	2022-12-11T03:56:07.000Z	https://github.com/felangel/bloc/tree/master/packages/bloc
