No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
1	http	A composable, multi-platform, Future-based API for HTTP requests.	0.13.5	99.97832964937373	5618	886	292	158	dart-lang	dart.dev	BSD-3-Clause	2022-12-14T23:56:15.000Z	https://github.com/dart-lang/http/tree/master/pkgs/http
2	intl	Contains code to deal with internationalized/localized messages, date and number formatting and parsing, bi-directional text, and other internationalization issues.	0.18.0	99.97399557924848	3625	496	167	107	dart-lang	dart.dev	BSD-3-Clause	2022-12-16T17:02:46.000Z	https://github.com/dart-lang/intl
3	path	A string-based path manipulation library. All of the path operations you know and love, with solid support for Windows, POSIX (Linux and Mac OS X), and the web.	1.8.3	99.90898452736965	947	158	38	12	dart-lang	dart.dev	BSD-3-Clause	2022-12-05T23:13:55.000Z	https://github.com/dart-lang/path
4	equatable	A Dart package that helps to implement value based equality without needing to explicitly override == and hashCode.	2.0.5	99.89164824686864	2029	739	91	16	felangel	fluttercommunity.dev	MIT	2022-10-17T14:47:51.000Z	https://github.com/felangel/equatable
5	collection	Collections and utilities functions and classes related to collections.	1.17.0	99.82230312486456	708	264	69	34	dart-lang	dart.dev	BSD-3-Clause	2022-12-09T17:04:55.000Z	https://github.com/dart-lang/collection
6	rxdart	RxDart is an implementation of the popular reactiveX api for asynchronous programming, leveraging the native Dart Streams api.	0.27.7	99.80496684436353	1952	3199	266	46	ReactiveX	fluttercommunity.dev	NOASSERTION	2022-11-28T15:48:04.000Z	https://github.com/ReactiveX/rxdart
7	crypto	Implementations of SHA, MD5, and HMAC cryptographic functions	3.0.2	99.79196463398777	1027	191	42	23	dart-lang	dart.dev	BSD-3-Clause	2022-11-10T17:45:46.000Z	https://github.com/dart-lang/crypto
8	async	Utility functions and classes related to the 'dart:async' library.	2.10.0	99.75729207298573	367	213	44	13	dart-lang	dart.dev	BSD-3-Clause	2022-11-09T17:20:16.000Z	https://github.com/dart-lang/async
9	http_parser	A platform-independent package for parsing and serializing HTTP formats.	4.0.2	99.73995579248472	132	24	23	3	dart-lang	dart.dev	BSD-3-Clause	2022-10-31T00:30:28.000Z	https://github.com/dart-lang/http_parser
10	html	APIs for parsing and manipulating HTML content outside the browser.	0.15.1	99.7226195119837	393	232	56	71	dart-lang	tools.dart.dev	NOASSERTION	2022-11-09T23:34:42.000Z	https://github.com/dart-lang/html
11	mime	Utilities for handling media (MIME) types, including determining a type from a file extension and file contents.	1.0.3	99.70961730160795	253	78	38	21	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-13T15:49:04.000Z	https://github.com/dart-lang/mime
12	args	Library for defining parsers for parsing raw command-line arguments into a set of options and values using GNU and POSIX style options.	2.3.1	99.7052832314827	259	171	60	39	dart-lang	dart.dev	BSD-3-Clause	2022-11-09T20:45:35.000Z	https://github.com/dart-lang/args
13	logging	Provides APIs for debugging and error logging, similar to loggers in other languages, such as the Closure JS Logger and java.util.logging.Logger.	1.1.0	99.70094916135743	483	239	41	17	dart-lang	dart.dev	BSD-3-Clause	2022-12-06T22:23:52.000Z	https://github.com/dart-lang/logging
14	archive	Provides encoders and decoders for various archive and compression formats such as zip, tar, bzip2, gzip, and zlib.	3.3.5	99.69228102110692	418	297	85	73	brendan-duncan	loki3d.com	MIT	2022-12-06T19:46:53.000Z	https://github.com/brendan-duncan/archive
15	dart_code_metrics	Software analytics tool that helps developers analyse and improve software quality.	5.2.1	99.68794695098167	749	738	82	59	dart-code-checker	dartcodemetrics.dev	MIT	2022-12-16T15:09:38.000Z	https://github.com/dart-code-checker/dart-code-metrics
16	yaml	A parser for YAML, a human-friendly data serialization standard	3.1.1	99.63593810947862	174	121	53	18	dart-lang	tools.dart.dev	MIT	2022-11-15T20:27:41.000Z	https://github.com/dart-lang/yaml
17	convert	Utilities for converting between data representations. Provides a number of Sink, Codec, Decoder, and Encoder types.	3.1.1	99.62726996922811	64	45	21	8	dart-lang	dart.dev	BSD-3-Clause	2022-10-12T21:53:57.000Z	https://github.com/dart-lang/convert
18	web_socket_channel	StreamChannel wrappers for WebSockets. Provides a cross-platform WebSocketChannel API, a cross-platform implementation of that API that communicates over an underlying StreamChannel.	2.2.0	99.61426775885234	763	312	81	85	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-07T09:27:31.000Z	https://github.com/dart-lang/web_socket_channel
19	source_span	A library for identifying source spans and locations.	1.9.1	99.58392926797556	18	21	14	12	dart-lang	tools.dart.dev	BSD-3-Clause	2022-10-25T17:24:45.000Z	https://github.com/dart-lang/source_span
20	string_scanner	A class for parsing strings using a sequence of patterns.	1.2.0	99.57526112772504	150	51	13	5	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-13T00:08:03.000Z	https://github.com/dart-lang/string_scanner
21	typed_data	Utility functions and classes related to the dart:typed_data library.	1.3.1	99.57092705759979	30	29	10	3	dart-lang	dart.dev	BSD-3-Clause	2022-11-10T17:39:40.000Z	https://github.com/dart-lang/typed_data
22	shelf	A model for web server middleware that encourages composition and easy reuse.	1.4.0	99.56659298747454	558	700	102	29	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-08T17:24:18.000Z	https://github.com/dart-lang/shelf/tree/master/pkgs/shelf
23	bloc	A predictable state management library that helps implement the BLoC (Business Logic Component) design pattern.	8.1.0	99.54492263684827	2073	9886	3024	93	felangel	bloclibrary.dev	MIT	2022-12-11T03:56:07.000Z	https://github.com/felangel/bloc/tree/master/packages/bloc
24	term_glyph	Useful Unicode glyphs and ASCII substitutes.	1.2.1	99.54058856672302	21	10	10	0	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-15T22:30:35.000Z	https://github.com/dart-lang/term_glyph
25	clock	A fakeable wrapper for dart:core clock APIs.	1.1.1	99.53625449659775	119	34	13	1	dart-lang	tools.dart.dev	Apache-2.0	2022-11-09T23:23:34.000Z	https://github.com/dart-lang/clock
26	pub_semver	Versions and version constraints implementing pub's versioning policy. This is very similar to vanilla semver, with a few corner cases.	2.1.3	99.5319204264725	71	47	22	8	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-12T00:56:02.000Z	https://github.com/dart-lang/pub_semver
27	stack_trace	A package for manipulating stack traces and printing them readably.	1.11.0	99.51891821609674	147	102	19	18	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-01T20:24:46.000Z	https://github.com/dart-lang/stack_trace
28	shelf_static	Static file server support for the shelf package and ecosystem.	1.1.1	99.48857972521995	53	24	25	3	dart-archive	tools.dart.dev	BSD-3-Clause	2022-05-09T20:32:05.000Z	https://github.com/dart-lang/shelf/tree/master/pkgs/shelf_static
29	webkit_inspection_protocol	A client for the Chrome DevTools Protocol (previously called the Webkit Inspection Protocol).	1.2.0	99.46690937459368	4	24	26	4	google	google.dev	BSD-3-Clause	2022-11-14T17:14:57.000Z	https://github.com/google/webkit_inspection_protocol.dart
30	io	Utilities for the Dart VM Runtime including support for ANSI colors, file copying, and standard exit code values.	1.0.3	99.45390716421791	26	32	16	19	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-15T20:27:29.000Z	https://github.com/dart-lang/io
31	csslib	A library for parsing and analyzing CSS (Cascading Style Sheets)	0.17.2	99.42790274346639	22	69	32	21	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-15T15:46:59.000Z	https://github.com/dart-lang/csslib
32	petitparser	A dynamic parser framework to build efficient grammars and parsers quickly.	5.1.0	99.42356867334114	189	382	51	5	petitparser	lukas-renggli.ch	MIT	2022-12-18T16:27:51.000Z	https://github.com/petitparser/dart-petitparser
33	glob	A library to perform Bash-style file and directory globbing.	2.1.1	99.41056646296536	37	36	14	6	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-09T23:20:11.000Z	https://github.com/dart-lang/glob
