No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
1	http	A composable, multi-platform, Future-based API for HTTP requests.	0.13.5	99.97832964937373	5616	885	292	158	dart-lang	dart.dev	BSD-3-Clause	2022-12-14T23:56:15.000Z	https://github.com/dart-lang/http/tree/master/pkgs/http
2	intl	Contains code to deal with internationalized/localized messages, date and number formatting and parsing, bi-directional text, and other internationalization issues.	0.18.0	99.97399557924848	3622	496	167	107	dart-lang	dart.dev	BSD-3-Clause	2022-12-16T17:02:46.000Z	https://github.com/dart-lang/intl
3	flutter_svg	An SVG rendering and widget library for Flutter, which allows painting and displaying Scalable Vector Graphics 1.1 files.	1.1.6	99.96966150912321	3404	1468	385	136	dnfield	dnfield.dev	MIT	2022-12-16T04:07:41.000Z	https://github.com/dnfield/flutter_svg
4	provider	A wrapper around InheritedWidget to make them easier to use and more reusable.	6.0.5	99.9609933688727	7813	4561	465	12	rrousselGit	dash-overflow.net	MIT	2022-12-15T22:07:16.000Z	https://github.com/rrousselGit/provider
5	permission_handler	Permission plugin for Flutter. This plugin provides a cross-platform (iOS, Android) API to request and check permissions.	10.2.0	99.93932301824644	3319	1699	661	153	Baseflow	baseflow.com	MIT	2022-11-11T10:50:27.000Z	https://github.com/baseflow/flutter-permission-handler
6	google_fonts	A Flutter package to use fonts from fonts.google.com.	3.0.1	99.92632080787067	4201	670	88	17	material-foundation	material.io	Apache-2.0	2022-12-06T15:25:08.000Z	https://github.com/material-foundation/google-fonts-flutter
7	path	A string-based path manipulation library. All of the path operations you know and love, with solid support for Windows, POSIX (Linux and Mac OS X), and the web.	1.8.3	99.90898452736965	945	158	38	12	dart-lang	dart.dev	BSD-3-Clause	2022-12-05T23:13:55.000Z	https://github.com/dart-lang/path
8	equatable	A Dart package that helps to implement value based equality without needing to explicitly override == and hashCode.	2.0.5	99.89164824686864	2027	739	91	16	felangel	fluttercommunity.dev	MIT	2022-10-17T14:47:51.000Z	https://github.com/felangel/equatable
9	file_picker	A package that allows you to use a native file explorer to pick single or multiple absolute file paths, with extension filtering support.	5.2.4	99.88731417674337	2875	974	432	30	miguelpruivo	miguelruivo.com	MIT	2022-12-12T17:26:48.000Z	https://github.com/miguelpruivo/flutter_file_picker
10	carousel_slider	A carousel slider widget, support infinite scroll and custom child widget.	4.2.1	99.87864603649287	3800	1382	447	168	serenader2014	serenader.me	MIT	2022-12-13T16:32:08.000Z	https://github.com/serenader2014/flutter_carousel_slider
