No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
1	flutter_svg	An SVG rendering and widget library for Flutter, which allows painting and displaying Scalable Vector Graphics 1.1 files.	1.1.6	99.96966150912321	3405	1467	385	136	dnfield	dnfield.dev	MIT	2022-12-16T04:07:41.000Z	https://github.com/dnfield/flutter_svg
2	provider	A wrapper around InheritedWidget to make them easier to use and more reusable.	6.0.5	99.9609933688727	7813	4561	465	12	rrousselGit	dash-overflow.net	MIT	2022-12-15T22:07:16.000Z	https://github.com/rrousselGit/provider
3	permission_handler	Permission plugin for Flutter. This plugin provides a cross-platform (iOS, Android) API to request and check permissions.	10.2.0	99.93932301824644	3319	1699	661	153	Baseflow	baseflow.com	MIT	2022-11-11T10:50:27.000Z	https://github.com/baseflow/flutter-permission-handler
4	google_fonts	A Flutter package to use fonts from fonts.google.com.	3.0.1	99.92632080787067	4203	670	88	17	material-foundation	material.io	Apache-2.0	2022-12-06T15:25:08.000Z	https://github.com/material-foundation/google-fonts-flutter
5	file_picker	A package that allows you to use a native file explorer to pick single or multiple absolute file paths, with extension filtering support.	5.2.4	99.88731417674337	2875	974	432	30	miguelpruivo	miguelruivo.com	MIT	2022-12-12T17:26:48.000Z	https://github.com/miguelpruivo/flutter_file_picker
6	carousel_slider	A carousel slider widget, support infinite scroll and custom child widget.	4.2.1	99.87864603649287	3801	1382	447	168	serenader2014	serenader.me	MIT	2022-12-13T16:32:08.000Z	https://github.com/serenader2014/flutter_carousel_slider
7	font_awesome_flutter	The Font Awesome Icon pack available as Flutter Icons. Provides 1600 additional icons to use in your apps.	10.3.0	99.86130975599185	3171	727	179	6	fluttercommunity	fluttercommunity.dev	NOASSERTION	2022-12-04T13:24:44.000Z	https://github.com/fluttercommunity/font_awesome_flutter
8	lottie	Render After Effects animations natively on Flutter. This package is a pure Dart implementation of a Lottie player.	2.1.0	99.81796905473931	2445	885	163	95	xvrh	xaha.dev	MIT	2022-12-14T13:12:23.000Z	https://github.com/xvrh/lottie-flutter
9	sqflite	Flutter plugin for SQLite, a self-contained, high-reliability, embedded, SQL database engine.	2.2.2	99.81363498461405	3527	2529	452	126	tekartik	tekartik.com	BSD-2-Clause	2022-12-04T19:40:08.000Z	https://github.com/tekartik/sqflite/tree/master/sqflite
10	flutter_secure_storage	Flutter Secure Storage provides API to store data in secure storage. Keychain is used in iOS, KeyStore based solution is used in Android.	7.0.1	99.78763056386254	2428	888	226	69	mogol	steenbakker.dev	BSD-3-Clause	2022-12-16T12:25:07.000Z	https://github.com/mogol/flutter_secure_storage/tree/develop/flutter_secure_storage
11	shimmer	A package provides an easy way to add shimmer effect in Flutter project	2.0.0	99.77462835348676	3227	1551	185	29	hnvn	hunghd.dev	BSD-3-Clause	2022-07-08T03:27:47.000Z	https://github.com/hnvn/flutter_shimmer
12	flutter_native_splash	Customize Flutter's default white native splash screen with background color and splash image. Supports dark mode, full screen, and more.	2.2.16	99.76162614311099	4957	936	142	15	jonbhanson	jonhanson.net	MIT	2022-11-27T17:58:46.000Z	https://github.com/jonbhanson/flutter_native_splash
13	flutter_inappwebview	A Flutter plugin that allows you to add an inline webview, to use an headless webview, and to open an in-app browser window.	5.7.2+3	99.74862393273524	1528	2309	969	588	pichillilorenzo	inappwebview.dev	Apache-2.0	2022-12-16T14:49:41.000Z	https://github.com/pichillilorenzo/flutter_inappwebview
14	flutter_rating_bar	A simple yet fully customizable ratingbar for flutter which also include a rating bar indicator, supporting any fraction of rating.	4.0.1	99.67927881073115	1578	320	75	39	sarbagyastha	sarbagyastha.com.np	MIT	2022-11-28T13:51:05.000Z	https://github.com/sarbagyastha/flutter_rating_bar
15	pin_code_fields	A flutter package which will help you to generate pin code fields. Can be useful for OTP for example.	7.4.0	99.66194253023014	1626	549	245	13	adar2378	theadar.xyz	MIT	2022-12-15T16:10:20.000Z	https://github.com/adar2378/pin_code_fields
16	qr_code_scanner	QR code scanner that can be embedded inside flutter. It uses zxing in Android and MTBBarcode scanner in iOS.	1.0.1	99.49724786547046	1494	854	577	127	juliuscanute		BSD-2-Clause	2022-12-14T08:23:47.000Z	https://github.com/juliuscanute/qr_code_scanner
17	flutter_riverpod	A simple way to access state from anywhere in your application while robust and testable.	2.1.1	99.4365708837169	1321	3838	617	104	rrousselGit	dash-overflow.net	MIT	2022-12-17T20:19:05.000Z	https://github.com/rrousselGit/riverpod
18	flutter_image_compress	Compress image with native (Objective-C/Kotlin) with faster speed. Support Android/iOS.	1.1.3	99.2935465695835	815	505	132	60	fluttercandies		MIT	2022-09-22T08:48:55.000Z	https://github.com/fluttercandies/flutter_image_compress
19	wakelock	Plugin that allows you to keep the device screen awake, i.e. prevent the screen from sleeping on Android, iOS, macOS, Windows, and web.	0.6.2	99.26320807870671	1120	336	57	7	creativecreatorormaybenot	creativemaybeno.dev	BSD-3-Clause	2022-09-13T04:03:51.000Z	https://github.com/creativecreatorormaybenot/wakelock/tree/main/wakelock
20	dropdown_search	Simple and robust Searchable Dropdown with item search feature, making it possible to use an offline item list or filtering URL for easy customization.	5.0.5	99.2545399384562	1183	239	219	11	salim-lachdhaf	salimdev.ovh	MIT	2022-12-05T08:46:47.000Z	https://github.com/salim-lachdhaf/searchable_dropdown
21	flutter_keyboard_visibility	Flutter plugin for discovering the state of the soft-keyboard visibility on Android and iOS.	5.4.0	99.20253109695315	556	300	61	17	MisterJimson	jasonrai.ca	MIT	2022-12-08T13:51:05.000Z	https://github.com/MisterJimson/flutter_keyboard_visibility
22	sentry_flutter	Sentry SDK for Flutter. This package aims to support different Flutter targets by relying on the many platforms supported by Sentry with native SDKs.	6.18.1	99.14618818532483	495	600	158	78	getsentry	sentry.io	MIT	2022-12-17T03:02:13.000Z	https://github.com/getsentry/sentry-dart
23	pinput	Pin code input (OTP) text field, iOS SMS autofill, Android SMS autofill One Time Code, Password, Passcode, Captcha, Security, Coupon, Wowcher, 2FA, Two step verification	2.2.16	99.09851341394705	1301	447	110	5	Tkko	fman.ge	MIT	2022-10-07T08:18:37.000Z	https://github.com/Tkko/Flutter_PinPut
